"Bank Name","Bank Code","BIC"
"C.A. PROV. DE SAN FERNANDO","2071","CECAESMM071"
"C.A. PROVINCIAL DE TARRAGONA","2073","CECAESMM073"
"CAJA DE AHORROS DE TERRASSA","2074","CECAESMM074"
"C.A. DE CASTILLA LA MANCHA","2075",""
"C.A. VALENCIA,CASTELLON Y ALICANTE","2077","CVALESVVXXX"
"ABANCA","2080","CAGLESMMXXX"
"CAJA DE AHORROS DEL PENEDES","2081","CECAESMM081"
"IBERCAJA","2085","CAZRES2ZXXX"
"C.A. DE LA INMACULADA","2086","CECAESMM086"
"CAJA DE A. DEL MEDITERRANEO","2090","CAAMES2AXXX"
"CAJA DE AHORROS DE GALICIA","2091","CAGLESMMXXX"
"C. PROVINCIAL DE A. DE JAEN","2092","CECAESMM092"
"C.A. Y M.P. DE AVILA","2094","CECAESMM094"
"BILBAO BIZKAIA KUTXA","2095","BASKES2BXXX"
"CAJA ESPAÑA DE INVERSIONES","2096","CSPAES2LXXX"
"C.A. DE VITORIA Y ALAVA","2097","BASKES2BXXX"
"M.P. Y C.A. DE HUELVA Y SEVILLA","2098","CECAESMM098"
"CAJA DE AHORROS DE EXTREMADURA","2099","CECAESMM099"
"C.A. Y PENSIONES DE BARCELONA","2100","CAIXESBBXXX"
"CAJA GIPUZKOA SAN SEBASTIAN","2101","CGGKES22XXX"
"CAJA AH PROV DE ALICANTE Y VALENCIA","2102",""
"UNICAJA","2103","UCJAES2MXXX"
"C.A. DE SALAMANCA Y SORIA","2104","CSSOES2SXXX"
"ENTIDAD 2105","2105","CECAESMM105"
"CAJA SOL SEVILLA","2106","CECAESMM106"
"UNNIM","2107","BBVAESMMXXX"
"BANCO DE CAJA ESPAÑA SORIA","2108","CSPAES2L108"
"CAJASUR","2196",""
"ENTIDAD 2697","2697",""
"ENTIDAD 2818","2818",""
"ENTIDAD 2838","2838",""
"-","2885",""
"ENTIDAD 2896","2896",""
"CAJA RURAL ALMENDRALEJO","3001","BCOEESMM001"
"CAJA RURAL CENTRAL","3005","BCOEESMM005"
"CAJA RURAL GIJN","3007","BCOEESMM007"
"-","3008","BCOEESMM008"
"ENTIDAD 3009","3009","BCOEESMM009"
"ENTIDAD 3016","3016","BCOEESMM016"
"ENTIDAD 3017","3017","BCOEESMM017"
"CAJA R.R.S.AGUSTIN DE FUENTE ALAMO","3018","BCOEESMM018"
"C.R.UTRERA ","3020","BCOEESMM020"
"ENTIDAD 3021","3021","BCOEESMM021"
"CAJA RURAL","3023","BCOEESMM023"
"ENTIDAD 3025","3025","CDENESBBXXX"
"CAJA CREDITO PETREL. COOPERATIVA VALENCIANA","3029","CCRIES2A029"
"CAJA LABORAL EUSKADIKO KUTXA","3035","CLPEES2MXXX"
"-","3038",""
"CAIXA RURAL ALTEA COOP.CTO.VALENCIANA","3045","BCOEESMM045"
"CAJA RURAL","3050",""
"ENTIDAD 3056","3056","BCOEESMM056"
"CAJAMAR","3058","CCRIES2AXXX"
"CAJA RURAL DE ASTURIAS","3059","BCOEESMM059"
"ENTIDAD 3060","3060","BCOEESMM060"
"CAJA RURAL DE CIUDAD REAL","3062","BCOEESMM062"
"ENTIDAD 3063","3063","BCOEESMM063"
"ENTIDAD 3064","3064","BCOEESMM064"
"ENTIDAD 3067","3067","BCOEESMM067"
"CAJA RURAL DE LUGO","3070","BCOEESMM070"
"ENTIDAD 3076","3076","BCOEESMM076"
"CAJA RURAL DE SEGOVIA COOP.CTO","3078","BCOEESMM078"
"CAJA RURAL DE TERUEL","3080","BCOEESMM080"
"ENTIDAD 3081","3081","BCOEESMM081"
"ENTIDAD 3082","3082","CCRIES2A082"
"ENTIDAD 3083","3083","BCOEESMM083"
"ENTIDAD 3084","3084","CVRVES2BXXX"
"ENTIDAD 3085","3085","BCOEESMM085"
"CAJA RURAL BAENA","3089","BCOEESMM089"
"ENTIDAD 3094","3094","CCRIES2A094"
"C.RURAL SAN ROQUE","3095","CCRIES2A095"
"ENTIDAD 3096","3096","BCOEESMM096"
"CAJA RURAL","3098","BCOEESMM098"
"CAJA RURAL DE CAETE","3104","BCOEESMM104"
"CAIXA R. DE CALLOSA DE EN SARRIA CCV","3105","CCRIES2A105"
"CAJA RURAL VILA-REAL","3110","CCRIES2A110"
"CAJA RURAL","3111","BCOEESMM111"
"CAJA RURAL SAN JOS","3112","CCRIES2A112"
"SAN JOS DE ALCORA","3113","BCOEESMM113"
"ENTIDAD 3114","3114","BCOEESMM114"
